Symptom(s),Possible Disease,Precautions,Treatment
"Cold Hands, Mood Swings, Tingling Sensation",Multiple Sclerosis,"Rest, Avoid allergens, Sleep properly",Blood Thinners
"Ear Pain, Back Pain",Kidney Stones,"Eat healthy, Monitor blood pressure","Oxygen Therapy, Paracetamol, IV Fluids"
"Sensitivity to Light, Sore Throat, Shortness of Breath, Cough",Migraine,"Avoid alcohol, Avoid allergens",Cough Syrup
"Loss of Appetite, Blurred Vision, Dry Skin",Sciatica,Wash hands frequently,"Steroids, Blood Thinners"
"Sore Throat, Fever, Abdominal Pain, Loss of Appetite",Anemia,"Get proper nutrition, Take vaccines","Steroids, IV Fluids"
"Difficulty Swallowing, Chest Pain, Fever",Migraine,"Reduce sugar intake, Get proper nutrition, Avoid allergens",IV Fluids
"Shortness of Breath, Heart Palpitations",Typhoid,Wash hands frequently,"IV Fluids, Pacemaker Implantation"
"Sneezing, Sweating",Anemia,"Take vaccines, Stay hydrated, Wear a mask","Inhalers, Vaccination"
"Diarrhea, Chest Pain",Migraine,Exercise regularly,Surgery
"Tingling Sensation, Numbness",Common Cold,Avoid alcohol,Eye Drops
"Shortness of Breath, Sore Throat, Tingling Sensation",Kidney Stones,Avoid alcohol,Bone Marrow Transplant
"Fatigue, Headache, Shortness of Breath",Vertigo,"Use mosquito repellent, Avoid bright lights","Oxygen Therapy, Insulin"
"Rash, Dizziness, Cold Hands",Asthma,Avoid stress,"Emergency Medical Help, Radiation Therapy, Dietary Supplements"
"Abdominal Pain, Frequent Urination",Parkinson’s Disease,Use sunscreen,Chemotherapy
"Dizziness, Rash",Colon Cancer,"Use sunscreen, Monitor blood pressure, Avoid stress",Skin Creams
"Nausea, Low Blood Pressure, Difficulty Swallowing",PCOS,"Maintain hygiene, Exercise regularly, Drink herbal tea","Radiation Therapy, Antiviral Drugs, Blood Thinners"
"Muscle Weakness, Ear Pain, Nosebleeds",Meningitis,"Drink herbal tea, Avoid stress, Wear a mask","Cognitive Therapy, Physiotherapy"
"Swollen Glands, Back Pain",Epilepsy,"Rest, Sleep properly, Stay hydrated",Vaccination
"Sore Throat, High Blood Pressure, Weight Loss, Itchy Eyes",Food Poisoning,"Use sunscreen, Avoid smoking, Reduce salt intake","Emergency Medical Help, Cognitive Therapy"
"Blurred Vision, Dry Skin, Cough, Nausea",Stroke,"Use mosquito repellent, Reduce salt intake, Use an inhaler",Pacemaker Implantation
"Memory Loss, Weight Loss, Cough, Difficulty Swallowing",Arrhythmia,Avoid stress,Hormonal Therapy
"High Blood Pressure, Swelling in Legs, Joint Pain",Liver Disease,"Take vaccines, Avoid smoking, Avoid stress","Dietary Supplements, Skin Creams"
"Ear Pain, Sensitivity to Light",Malaria,"Monitor blood pressure, Avoid smoking, Avoid stress","Steroids, Cough Syrup"
"Rash, Excessive Thirst, Ear Pain, Sore Throat",Lung Infection,"Monitor blood pressure, Exercise regularly",Skin Creams
"Blurred Vision, Tremors, Chest Pain",Tuberculosis,"Avoid smoking, Avoid bright lights",Oral Rehydration
"Blurred Vision, Cold Hands, Swelling in Legs, Abdominal Pain",Stroke,Avoid stress,Blood Thinners
"Memory Loss, Weight Loss, Excessive Thirst, Fever",Stroke,Meditate daily,"Physiotherapy, Antifungal Medication"
"Fatigue, Heart Palpitations, Weight Loss, Sensitivity to Light",Arrhythmia,Wash hands frequently,"Shockwave Therapy, IV Fluids, Insulin"
"Low Blood Pressure, Numbness, Fatigue",Sinusitis,"Get proper nutrition, Use mosquito repellent",Antihistamines
"Sensitivity to Light, Headache",Anemia,Avoid alcohol,"Chemotherapy, Surgery, Vitamin Supplements"
"Swollen Glands, Cold Hands, Cough, Loss of Appetite",Hypertension,"Meditate daily, Use sunscreen",Blood Thinners
"Rash, Tremors, High Blood Pressure, Abdominal Pain",Hypertension,"Use sunscreen, Wash hands frequently, Meditate daily","Antiviral Drugs, Cognitive Therapy"
"High Blood Pressure, Loss of Appetite",Lupus,Reduce caffeine intake,"Skin Creams, Psychotherapy, Bone Marrow Transplant"
"Numbness, Abdominal Pain",Common Cold,"Avoid crowded places, Avoid alcohol","Skin Creams, Pacemaker Implantation"
"Abdominal Pain, Excessive Thirst, Fatigue",Arrhythmia,"Avoid crowded places, Sleep properly, Monitor blood pressure","Steroids, Insulin, Vaccination"
"Diarrhea, Numbness, Sweating, Fatigue",Diabetes,Wear a mask,"Bone Marrow Transplant, Physiotherapy, Eye Drops"
"Swollen Glands, Sensitivity to Light, Tingling Sensation",Colon Cancer,Sleep properly,"Antihistamines, Blood Thinners"
"Numbness, Dry Skin",Anemia,"Avoid smoking, Monitor blood pressure, Eat healthy",Oral Rehydration
"Sensitivity to Light, Headache",Flu,"Avoid bright lights, Avoid alcohol, Use sunscreen","Eye Drops, Pacemaker Implantation"
"Difficulty Swallowing, Joint Pain, Cold Hands, Abdominal Pain",Heart Attack,Drink herbal tea,"Psychotherapy, Blood Thinners, Cough Syrup"
"Abdominal Pain, Sweating, Weight Loss, Shortness of Breath",Bronchitis,Meditate daily,"Antiviral Drugs, Cognitive Therapy, Antifungal Medication"
"Heart Palpitations, Shortness of Breath, Tremors, Blurred Vision",Leukemia,"Regular health checkups, Exercise regularly","Oxygen Therapy, Vaccination"
"Headache, High Blood Pressure, Abdominal Pain",Asthma,"Use an inhaler, Avoid smoking, Exercise regularly",Cognitive Therapy
"Muscle Weakness, Nausea",Pancreatitis,"Avoid alcohol, Avoid stress","Inhalers, Shockwave Therapy, Dietary Supplements"
"Dry Skin, Sensitivity to Light, Itchy Eyes, Cough",Arrhythmia,Reduce caffeine intake,Pacemaker Implantation
"Tingling Sensation, Swollen Glands",PCOS,Maintain hygiene,"Antibiotics, Insulin, Psychotherapy"
"Itchy Eyes, Joint Pain, Headache, Tingling Sensation",Sinusitis,"Meditate daily, Exercise regularly",Oxygen Therapy
"High Blood Pressure, Frequent Urination, Memory Loss, Ear Pain",Multiple Sclerosis,Avoid smoking,"Antifungal Medication, Chemotherapy, Insulin"
"Mood Swings, Cough, Back Pain",Liver Disease,"Reduce caffeine intake, Sleep properly",Antihistamines
"Dizziness, Nosebleeds",Brain Tumor,"Reduce sugar intake, Wash hands frequently, Regular health checkups",Psychotherapy
"Sore Throat, Sweating, Numbness",Asthma,Reduce salt intake,"Vaccination, Physiotherapy"
"Sore Throat, Dizziness, Chest Pain",Pancreatitis,Avoid allergens,"Pacemaker Implantation, Dietary Supplements, Inhalers"
"Shortness of Breath, Sensitivity to Light, Mood Swings",Dengue,"Reduce salt intake, Use mosquito repellent","Dietary Supplements, Vitamin Supplements"
"Fatigue, Nosebleeds",Leukemia,"Sleep properly, Avoid bright lights, Drink herbal tea","Vaccination, Blood Thinners"
"Cold Hands, Sensitivity to Light",Malaria,Monitor blood pressure,Antibiotics
"Headache, Muscle Weakness, Tingling Sensation, Cold Hands",Diabetes,"Rest, Avoid smoking, Get proper nutrition","Antifungal Medication, Psychotherapy, Emergency Medical Help"
"Mood Swings, Nosebleeds, High Blood Pressure",Dengue,Monitor blood pressure,Dietary Supplements
"Muscle Weakness, Back Pain, Diarrhea",Leukemia,"Drink herbal tea, Exercise regularly","Oxygen Therapy, Painkillers, Chemotherapy"
"Tingling Sensation, Sensitivity to Light, Sore Throat, Back Pain",Pancreatitis,"Exercise regularly, Regular health checkups, Avoid bright lights","Steroids, Hormonal Therapy, Physiotherapy"
"Fatigue, Sneezing",Lung Infection,"Exercise regularly, Maintain hygiene",Bone Marrow Transplant
"Memory Loss, Swelling in Legs, Numbness",Brain Tumor,Take vaccines,"Inhalers, Cognitive Therapy, Oxygen Therapy"
"Sneezing, Sensitivity to Light, Ear Pain",Bronchitis,"Rest, Regular health checkups","Chemotherapy, Emergency Medical Help"
"Back Pain, Heart Palpitations",Hypertension,"Take vaccines, Use sunscreen, Use an inhaler",Skin Creams
"Mood Swings, High Blood Pressure, Diarrhea, Heart Palpitations",Arthritis,Wash hands frequently,"Oxygen Therapy, Surgery"
"Swelling in Legs, Nosebleeds, Difficulty Swallowing",Parkinson’s Disease,"Reduce sugar intake, Avoid alcohol","Steroids, Vitamin Supplements"
"Cough, Rash, Fatigue, Swelling in Legs",Lupus,"Monitor blood pressure, Avoid alcohol, Reduce sugar intake","Bone Marrow Transplant, Paracetamol, Eye Drops"
"Nosebleeds, Mood Swings, Headache",Glaucoma,Drink herbal tea,Vitamin Supplements
"Back Pain, Cough, Shortness of Breath",Asthma,"Use an inhaler, Exercise regularly","Dietary Supplements, Surgery"
"Frequent Urination, Chest Pain, Ear Pain",Sinusitis,"Wash hands frequently, Avoid alcohol",Paracetamol
"Tremors, Nosebleeds, Cough",Flu,Avoid smoking,Skin Creams
"Swelling in Legs, Sensitivity to Light",Common Cold,Reduce salt intake,Bone Marrow Transplant
"Headache, Shortness of Breath, Loss of Appetite, Tingling Sensation",Meningitis,Drink herbal tea,Steroids
"Blurred Vision, Swelling in Legs, Mood Swings",Thyroid Disease,Avoid alcohol,"Shockwave Therapy, Paracetamol, Eye Drops"
"Excessive Thirst, Diarrhea",Diabetes,"Exercise regularly, Meditate daily, Avoid crowded places","Surgery, Oral Rehydration"
"Ear Pain, Fever",Hepatitis,"Use mosquito repellent, Avoid bright lights, Reduce caffeine intake",Antibiotics
"Rash, Back Pain, Fever, Swelling in Legs",Lung Infection,"Wear a mask, Avoid alcohol, Avoid crowded places",Antiviral Drugs
"Sore Throat, Low Blood Pressure, Excessive Thirst",Lung Infection,"Wash hands frequently, Reduce sugar intake","Surgery, Physiotherapy"
"Difficulty Swallowing, Blurred Vision, Memory Loss, Dizziness",Colon Cancer,"Meditate daily, Avoid crowded places, Avoid allergens",Antifungal Medication
"Memory Loss, Sensitivity to Light, Sneezing, Ear Pain",Epilepsy,Get proper nutrition,"Pacemaker Implantation, Dietary Supplements"
"Nausea, Cough",Anemia,"Drink herbal tea, Avoid bright lights, Meditate daily","Cough Syrup, Blood Thinners"
"Sore Throat, Dry Skin",Colon Cancer,Exercise regularly,Inhalers
"Heart Palpitations, Numbness, Sore Throat",Pneumonia,"Rest, Monitor blood pressure","Dietary Supplements, Blood Thinners, Painkillers"
"Sensitivity to Light, Ear Pain",Arrhythmia,"Monitor blood pressure, Use mosquito repellent","Eye Drops, Chemotherapy"
"Heart Palpitations, Numbness, Back Pain",Arrhythmia,Reduce sugar intake,"Chemotherapy, Antiviral Drugs, Dietary Supplements"
"Weight Loss, Shortness of Breath, Memory Loss",Typhoid,"Avoid alcohol, Regular health checkups, Maintain hygiene","Surgery, Shockwave Therapy"
"Swelling in Legs, Sensitivity to Light, Heart Palpitations",Heart Attack,"Reduce sugar intake, Use sunscreen, Exercise regularly","Eye Drops, Antifungal Medication"
"Difficulty Swallowing, Diarrhea, Cough, Swollen Glands",Eczema,Avoid crowded places,"Blood Thinners, Radiation Therapy, Cognitive Therapy"
"Nosebleeds, Mood Swings",Common Cold,Sleep properly,Blood Thinners
"Fever, Headache, Cold Hands",Meningitis,Avoid stress,Paracetamol
"Rash, Cold Hands, Excessive Thirst",Sinusitis,Use an inhaler,"Vaccination, Cough Syrup"
"Back Pain, Fever, Sensitivity to Light, Muscle Weakness",Arthritis,"Wash hands frequently, Regular health checkups, Avoid alcohol","Steroids, Cough Syrup"
"Rash, Excessive Thirst, Frequent Urination",Pneumonia,Maintain hygiene,Steroids
"Cough, Frequent Urination",Typhoid,"Exercise regularly, Wear a mask, Wash hands frequently","Cough Syrup, Antibiotics"
"Sneezing, Excessive Thirst, Sweating",Anemia,"Regular health checkups, Avoid crowded places","Steroids, Surgery"
"Memory Loss, Abdominal Pain",Anemia,Use sunscreen,"IV Fluids, Anti-inflammatory Drugs, Radiation Therapy"
"Abdominal Pain, Frequent Urination, Nausea, Fatigue",Hypertension,Avoid bright lights,Paracetamol
"Swollen Glands, Joint Pain, Dizziness",Hypertension,"Meditate daily, Wear a mask, Avoid crowded places",Inhalers
"Fatigue, Cold Hands, Low Blood Pressure, Cough",Common Cold,Use mosquito repellent,"Antiviral Drugs, Cough Syrup"
"Headache, Dizziness",Epilepsy,"Exercise regularly, Regular health checkups, Reduce sugar intake",Dietary Supplements
"Cough, Frequent Urination, Tremors",Liver Disease,"Maintain hygiene, Sleep properly","Antiviral Drugs, Dietary Supplements, Hormonal Therapy"
"Swelling in Legs, Tremors, Excessive Thirst",Bronchitis,Avoid alcohol,Psychotherapy
"Fever, Cold Hands",Diabetes,"Rest, Avoid smoking","Antihistamines, Paracetamol"
"High Blood Pressure, Back Pain, Headache, Heart Palpitations",Lupus,"Exercise regularly, Drink herbal tea","Vaccination, Antibiotics"
"Cold Hands, Swelling in Legs, High Blood Pressure",Brain Tumor,Reduce salt intake,"Anti-inflammatory Drugs, Paracetamol, Oxygen Therapy"
"Difficulty Swallowing, Nosebleeds, Chest Pain, Fatigue",Sciatica,"Reduce caffeine intake, Meditate daily","Cognitive Therapy, Insulin, Antifungal Medication"
"Muscle Weakness, Excessive Thirst",Lupus,"Meditate daily, Use an inhaler, Rest","Paracetamol, Vaccination, Antibiotics"
"Mood Swings, Runny Nose",Typhoid,Reduce sugar intake,"Cognitive Therapy, Vaccination, Anti-inflammatory Drugs"
"Ear Pain, Blurred Vision, Swollen Glands",Lung Infection,"Exercise regularly, Wash hands frequently",Antihistamines
"Back Pain, Cold Hands, Diarrhea, Tremors",Mental Stress,Use an inhaler,"Chemotherapy, Pacemaker Implantation, Eye Drops"
"Back Pain, Diarrhea, Rash, Runny Nose",Kidney Stones,"Exercise regularly, Maintain hygiene, Stay hydrated",Cognitive Therapy
"Cough, Back Pain, Fever",Pancreatitis,"Exercise regularly, Avoid smoking, Meditate daily","Chemotherapy, IV Fluids, Cognitive Therapy"
"Blurred Vision, Dizziness",PCOS,"Use an inhaler, Wash hands frequently","Vaccination, Inhalers, Shockwave Therapy"
"Diarrhea, Itchy Eyes",Brain Tumor,"Exercise regularly, Rest",Dietary Supplements
"Dry Skin, Diarrhea",Pneumonia,"Avoid bright lights, Use sunscreen, Eat healthy","Inhalers, Oral Rehydration"
"Loss of Appetite, Low Blood Pressure",Hypertension,"Sleep properly, Rest",Paracetamol
"Swollen Glands, Nosebleeds",Common Cold,Avoid crowded places,Skin Creams
"Back Pain, Loss of Appetite, Tremors, Memory Loss",Flu,"Reduce caffeine intake, Wash hands frequently, Eat healthy",Radiation Therapy
"Swollen Glands, Cold Hands",Food Poisoning,Avoid crowded places,Blood Thinners
"Weight Loss, Sweating, Heart Palpitations",Hypertension,"Wash hands frequently, Reduce caffeine intake","Vitamin Supplements, Chemotherapy"
"Swelling in Legs, Rash, Swollen Glands, Sensitivity to Light",Hepatitis,Maintain hygiene,"Radiation Therapy, IV Fluids, Insulin"
"Nosebleeds, Fatigue, Swollen Glands, Swelling in Legs",Food Poisoning,"Avoid alcohol, Use sunscreen",Oral Rehydration
"Back Pain, Swollen Glands, Fever",Lung Infection,"Stay hydrated, Reduce sugar intake, Rest","Vaccination, Inhalers"
"Chest Pain, Tremors",Tuberculosis,"Stay hydrated, Sleep properly, Wash hands frequently","Oxygen Therapy, Paracetamol, Antifungal Medication"
"Abdominal Pain, Joint Pain, Cold Hands, Chest Pain",Arrhythmia,Use sunscreen,"Oral Rehydration, Insulin"
"Ear Pain, Frequent Urination, Heart Palpitations",Tuberculosis,Maintain hygiene,"Cough Syrup, Antifungal Medication"
"High Blood Pressure, Low Blood Pressure, Memory Loss",Glaucoma,"Use an inhaler, Avoid bright lights, Take vaccines",Vitamin Supplements
"Nosebleeds, Cough, Dry Skin",Pancreatitis,"Use mosquito repellent, Rest","Anti-inflammatory Drugs, Psychotherapy, Inhalers"
"High Blood Pressure, Sore Throat",Lung Infection,Avoid alcohol,"IV Fluids, Hormonal Therapy"
"Nausea, Excessive Thirst, Frequent Urination",Pancreatitis,"Avoid smoking, Use an inhaler",Blood Thinners
